Match,Date,Bet,Return,Gain,Meta,Odds,Balance,Comments,BET_TYPE,BET_STYLE,BET_RESULT,TEAM_1,TEAM_2
"Inter Milan 0.0 @ 2.125

$100.00 Single",2020-02-16 14:18:06,100.0,0.0,-100.0,Serie A,2.125,71.91,Lazio v Inter Milan(Asian Handicap),ASIAN HANDICAP,PRE MATCH,LOST,Inter,Lazio
"Inter Milan @ 3.40

$50.00 Single",2020-02-16 15:58:29,50.0,0.0,-50.0,,3.4,21.91,Lazio v Inter Milan(Asian Handicap),FINAL RESULT,PRE MATCH,LOST,Inter,Lazio
"Inter Milan @ 26.00

$20.00 Single",2020-02-16 16:18:59,20.0,0.0,-20.0,,26.0,1.91,Lazio v Inter Milan(Asian Handicap),FINAL RESULT,LIVE,LOST,Inter,Lazio
"Liverpool @ 2.25

$30.00 Single",2020-02-18 07:57:23,30.0,0.0,-30.0,,2.25,-28.09,,FINAL RESULT,PRE MATCH,LOST,Liverpool,
"Liverpool 0.0,-0.5 @ 2.000

$100.00 Single",2020-02-18 08:12:48,100.0,0.0,-100.0,UCL,2.0,-128.09,Atletico Madrid v Liverpool(Asian Handicap),ASIAN HANDICAP,PRE MATCH,LOST,Liverpool,Atletico Madrid
"Liverpool @ 9.50

$20.00 Single",2020-02-18 16:13:46,20.0,0.0,-20.0,,9.5,-148.09,,FINAL RESULT,PRE MATCH,LOST,Liverpool,
"Atalanta to score 3rd goal @ 1.83

$30.00 Single",2020-02-19 16:07:42,30.0,55.0,25.0,,1.83,-123.09,,TEAM TO SCORE,LIVE,WIN,Atalanta,
"Atalanta to score 5th goal @ 2.25

$15.00 Single",2020-02-19 16:24:09,15.0,0.0,-15.0,,2.25,-138.09,,TEAM TO SCORE,LIVE,LOST,Atalanta,
"Draw @ 7.00

$10.00 Single",2020-02-19 16:44:45,10.0,0.0,-10.0,,7.0,-148.09,,FINAL RESULT,PRE MATCH,LOST,,
"Man City -1.0 @ 2.010

$30.00 Single",2020-02-22 12:04:25,30.0,30.0,0.0,UCL,2.01,-148.09,"Man City vs Real Madrid
热苏斯超神，看准了就是吃",ASIAN HANDICAP,PRE MATCH,PUSH,Real Madrid,Manchester City
"Napoli -1.0 @ 2.75

$180.00 Single",2020-02-25 09:24:13,180.0,180.0,0.0,UCL,2.75,-148.09,Napoli v Barcelona(Corner Handicap),ASIAN CORNER HANDICAP,PRE MATCH,CASH_OUT,Barcelona,Napoli
"Napoli -1.0 @ 2.75

$80.00 Single",2020-02-25 14:01:07,80.0,0.0,-80.0,UCL,2.75,-228.09,Napoli v Barcelona(Corner Handicap),ASIAN CORNER HANDICAP,PRE MATCH,LOST,Barcelona,Napoli
"Man City @ 2.30

$100.00 Single",2020-02-26 14:12:57,100.0,100.0,0.0,,2.3,-228.09,,FINAL RESULT,PRE MATCH,PUSH,Manchester City,
"Man City -1.0 @ 1.900

$50.00 Single",2020-02-26 14:33:31,50.0,95.0,45.0,UCL,1.9,-183.09,"Man City vs Real Madrid
热苏斯超神，看准了就是吃",ASIAN HANDICAP,PRE MATCH,WIN,Real Madrid,Manchester City
"Man City 0.0,-0.5 @ 2.020

$50.00 Single",2020-02-26 14:34:03,50.0,101.0,51.0,UCL,2.02,-132.09,"Man City vs Real Madrid
热苏斯超神，看准了就是吃",ASIAN HANDICAP,PRE MATCH,WIN,Real Madrid,Manchester City
"Man City @ 2.60

$30.00 Single",2020-02-26 16:10:58,30.0,78.0,48.0,UCL,2.6,-84.09,"Man City vs Real Madrid
热苏斯超神，看准了就是吃",FINAL RESULT,PRE MATCH,WIN,Real Madrid,Manchester City
"Man City @ 8.00

$70.00 Single",2020-02-26 16:19:19,70.0,560.0,490.0,UCL,8.0,405.91,"Man City vs Real Madrid
热苏斯超神，看准了就是吃",FINAL RESULT,LIVE,WIN,Real Madrid,Manchester City
"Ludogorets Razgrad +1.0,+1.5 @ 2.040

$34.00 Single",2020-02-27 14:18:24,34.0,51.68,17.68,,2.04,423.59,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Bologna +1.0 @ 1.970

$21.68 Single",2020-02-29 08:19:21,21.68,0.0,-21.68,,1.97,401.91,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Bologna to score 3rd goal @ 2.50

$30.00 Single",2020-02-29 10:19:38,30.0,0.0,-30.0,,2.5,371.91,,TEAM TO SCORE,LIVE,LOST,,
"Real Madrid 0.0,-0.5 @ 2.010

$50.00 Single",2020-03-01 14:08:38,50.0,100.5,50.5,,2.01,422.41,"Real Madrid vs Barc
吃!",ASIAN HANDICAP,PRE MATCH,WIN,Real Madrid,Barcelona
"Real Madrid 0.0,-0.5 @ 2.010
$60.00 Single
",2020-03-01 14:10:03,60.0,120.6,60.6,,2.01,483.01,"Real Madrid vs Barc
吃!",ASIAN HANDICAP,PRE MATCH,WIN,Real Madrid,Barcelona
"Real Madrid @ 2.87

$30.00 Single",2020-03-01 16:15:54,30.0,86.25,56.25,,2.87,539.26,"Real Madrid vs Barc
吃!",FINAL RESULT,PRE MATCH,WIN,Real Madrid,Barcelona
"Man City to score 2nd goal @ 1.83

$27.35 Single",2020-03-08 12:47:50,27.35,0.0,-27.35,,1.83,511.91,,TEAM TO SCORE,LIVE,LOST,Manchester City,
"Inter Milan 0.0,+0.5 @ 2.040

$20.00 Single",2020-03-08 14:10:27,20.0,0.0,-20.0,,2.04,491.91,,ASIAN HANDICAP,PRE MATCH,LOST,Inter,
"Inter Milan to score 2nd goal @ 2.62

$20.00 Single",2020-03-08 15:56:17,20.0,0.0,-20.0,,2.62,471.91,,TEAM TO SCORE,LIVE,LOST,Inter,
"Tottenham @ 6.00

$20.00 Single",2020-03-10 14:58:46,20.0,0.0,-20.0,,6.0,451.91,,FINAL RESULT,PRE MATCH,LOST,Tottenham,
"Tottenham @ 51.00

$10.00 Single",2020-03-10 16:08:22,10.0,0.0,-10.0,,51.0,441.91,,FINAL RESULT,PRE MATCH,LOST,Tottenham,
"Over 2.5 @ 1.990

$30.00 Single",2020-03-11 14:54:33,30.0,0.0,-30.0,,1.99,411.91,,TOTAL GOAL,PRE MATCH,LOST,,
"Over 2.5 @ 1.990

$20.00 Single",2020-03-11 14:55:16,20.0,0.0,-20.0,,1.99,391.91,,TOTAL GOAL,PRE MATCH,LOST,,
"Over 2.5 @ 1.990

$20.00 Single",2020-03-11 14:57:22,20.0,0.0,-20.0,,1.99,371.91,,TOTAL GOAL,PRE MATCH,LOST,,
"Atletico Madrid to score 2nd goal @ 8.50

$20.00 Single",2020-03-11 16:31:55,20.0,0.0,-20.0,,8.5,351.91,,TEAM TO SCORE,LIVE,LOST,Atletico Madrid,
"Sevilla @ 5.50

$20.00 Single",2020-06-19 16:33:03,20.0,0.0,-20.0,La Liga,5.5,331.91,,FINAL RESULT,PRE MATCH,LOST,Sevilla,
"(0-0) Real Madrid -0.5,-1.0 @ 1.930

$60.00 Single",2020-06-21 15:04:23,60.0,106.98,46.98,La Liga,1.93,378.89,,ASIAN HANDICAP,LIVE,WIN,Real Madrid,
"Atalanta @ 2.10

$26.98 Single",2020-06-23 05:01:31,26.98,56.66,29.68,Serie A,2.1,408.57,"Atalanta vs Lazio
拉齐奥复赛第一场，看出完全
是XJBT, 果然被逆转",FINAL RESULT,PRE MATCH,WIN,Lazio,Atalanta
"Atalanta 0.0,-0.5 @ 2.010

$30.00 Single",2020-06-24 14:42:41,30.0,60.3,30.3,Serie A,2.01,438.87,"Atalanta vs Lazio
拉齐奥复赛第一场，看出完全
是XJBT, 果然被逆转",ASIAN HANDICAP,PRE MATCH,WIN,Lazio,Atalanta
"Atalanta @ 4.75

$20.00 Single",2020-06-24 15:59:26,20.0,95.0,75.0,Serie A,4.75,513.87,"Atalanta vs Lazio
拉齐奥复赛第一场，看出完全
是XJBT, 果然被逆转",FINAL RESULT,PRE MATCH,WIN,Lazio,Atalanta
"Man City @ 2.10

$21.96 Single",2020-06-25 15:28:26,21.96,0.0,-21.96,PL,2.1,491.91,,FINAL RESULT,PRE MATCH,LOST,Manchester City,
"Real Madrid -1.0 @ 1.850

$50.00 Single",2020-06-28 11:24:37,50.0,50.0,0.0,La Liga,1.85,491.91,,ASIAN HANDICAP,PRE MATCH,PUSH,Real Madrid,
"Real Madrid -1.0 @ 1.860

$70.00 Single",2020-06-28 11:26:18,70.0,70.0,0.0,La Liga,1.86,491.91,,ASIAN HANDICAP,PRE MATCH,PUSH,Real Madrid,
"Atletico Madrid +0.5 @ 2.030

$100.00 Single",2020-06-29 18:59:25,100.0,94.42,-5.58,La Liga,2.03,486.33,"马竞 vs Barcelona
巴萨本赛季送钱童子，看准了
就是是吃",ASIAN HANDICAP,PRE MATCH,CASH_OUT,Barcelona,Atletico Madrid
"Atletico Madrid +0.5,+1.0 @ 1.950

$114.42 Single",2020-06-30 12:05:07,114.42,223.12,108.7,La Liga,1.95,595.03,"马竞 vs Barcelona
巴萨本赛季送钱童子，看准了
就是是吃",ASIAN HANDICAP,PRE MATCH,WIN,Barcelona,Atletico Madrid
"Draw @ 5.50

$20.00 Single",2020-06-30 16:14:54,20.0,110.0,90.0,La Liga,5.5,685.03,,FINAL RESULT,LIVE,WIN,,
"Atletico Madrid to score 5th goal @ 6.00

$10.00 Single",2020-06-30 16:41:17,10.0,0.0,-10.0,La Liga,6.0,675.03,,TEAM TO SCORE,LIVE,LOST,Atletico Madrid,
"Man City to score 2nd goal @ 1.95

$23.12 Single",2020-07-02 14:45:49,23.12,45.14,22.02,PL,1.95,697.05,"Man City vs Liverpool
利物浦已夺冠，欧冠已被淘汰
战意决定一切
尤文意甲夺冠后最后几轮也是拉胯",TEAM TO SCORE,LIVE,WIN,Liverpool,Manchester City
"Real Madrid @ 1.80

$15.14 Single",2020-07-02 15:22:01,15.14,27.26,12.12,La Liga,1.8,709.17,,FINAL RESULT,LIVE,WIN,Real Madrid,
"Real Madrid @ 2.40

$20.00 Single",2020-07-02 16:23:30,20.0,48.0,28.0,La Liga,2.4,737.17,,FINAL RESULT,LIVE,WIN,Real Madrid,
"Juventus 0.0,-0.5 @ 2.030

$25.26 Single",2020-07-07 15:03:28,25.26,0.0,-25.26,Serie A,2.03,711.91,"Juventus vs Milan
米兰4球逆转，坑爹",ASIAN HANDICAP,PRE MATCH,LOST,Juventus,AC Milan
"Napoli 0.0,-0.5 @ 1.870

$40.00 Single",2020-07-11 10:00:56,40.0,20.0,-20.0,Serie A,1.87,691.91,"Napoli vs AC Milan
米兰又是坑爹点球扳平. 幸好滚球提前cash out, 策略正确",ASIAN HANDICAP,PRE MATCH,LOST,Napoli,AC Milan
"Atalanta 0.0,+0.5 @ 2.040

$50.00 Single",2020-07-11 14:38:03,50.0,76.0,26.0,Serie A,2.04,717.91,"Atalanta vs Juventus
尤文两个点球坑爹",ASIAN HANDICAP,PRE MATCH,WIN,Juventus,Atalanta
"Atalanta @ 5.00

$10.00 Single",2020-07-11 16:16:23,10.0,0.0,-10.0,Serie A,5.0,707.91,"Atalanta vs Juventus
尤文两个点球坑爹",FINAL RESULT,LIVE,LOST,Juventus,Atalanta
"Napoli @ 2.20

$30.00 Single",2020-07-12 14:49:54,30.0,0.0,-30.0,Serie A,2.2,677.91,"Napoli vs AC Milan
米兰又是坑爹点球扳平. 幸好滚球提前cash out, 策略正确",FINAL RESULT,PRE MATCH,LOST,Napoli,AC Milan
"Napoli @ 3.75

$36.00 Single",2020-07-12 15:09:05,36.0,99.0,63.0,Serie A,3.75,740.91,"Napoli vs AC Milan
米兰又是坑爹点球扳平. 幸好滚球提前cash out, 策略正确",FINAL RESULT,LIVE,WIN,Napoli,AC Milan
"Southampton @ 34.00

$9.00 Single",2020-07-13 15:12:29,9.0,0.0,-9.0,PL,34.0,731.91,,FINAL RESULT,PRE MATCH,LOST,Southampton,
"Man City @ 4.75

$20.00 Single",2020-07-18 15:10:36,20.0,0.0,-20.0,PL,4.75,711.91,,FINAL RESULT,PRE MATCH,LOST,Manchester City,
"Bologna to score 4th goal @ 3.40

$40.00 Single",2020-07-18 15:32:01,40.0,0.0,-40.0,Serie A,3.4,671.91,,TEAM TO SCORE,LIVE,LOST,,
"Juventus to score 3rd goal @ 2.40

$30.00 Single",2020-07-20 16:18:56,30.0,0.0,-30.0,Serie A,2.4,641.91,,TEAM TO SCORE,LIVE,LOST,Juventus,
"Sassuolo +0.5,+1.0 @ 1.940

$20.00 Single",2020-07-21 14:40:49,20.0,10.0,-10.0,Serie A,1.94,631.91,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Sassuolo @ 4.33

$20.00 Single",2020-07-21 15:30:12,20.0,0.0,-20.0,Serie A,4.33,611.91,,FINAL RESULT,PRE MATCH,LOST,,
"Atalanta 0.0,-0.5 @ 1.980

$40.00 Single",2020-07-23 14:25:03,40.0,20.0,-20.0,Serie A,1.98,591.91,,ASIAN HANDICAP,PRE MATCH,LOST,Atalanta,
"Atalanta -1.0 @ 2.37

$50.00 Single",2020-07-23 14:25:54,50.0,118.75,68.75,Serie A,2.37,660.66,"
AC Milan v Atalanta(Corner Handicap)
角球大数据",ASIAN CORNER HANDICAP,PRE MATCH,WIN,Atalanta,
"Atalanta @ 2.25

$30.00 Single",2020-07-24 15:23:37,30.0,0.0,-30.0,Serie A,2.25,630.66,,FINAL RESULT,PRE MATCH,LOST,Atalanta,
"Atalanta @ 2.75

$20.00 Single",2020-07-24 16:01:23,20.0,0.0,-20.0,Serie A,2.75,610.66,,FINAL RESULT,PRE MATCH,LOST,Atalanta,
"Atalanta @ 2.87

$50.00 Single",2020-07-24 16:05:28,50.0,0.0,-50.0,Serie A,2.87,560.66,,FINAL RESULT,PRE MATCH,LOST,Atalanta,
"No @ 1.80

$38.75 Single",2020-07-26 09:49:19,38.75,69.75,31.0,PL,1.8,591.66,"Chelsea v Wolverhampton(Both Teams to Score)
英超最后一轮, 切尔西争欧冠席位, 打平即可.谨慎为上",BTTS,PRE MATCH,WIN,Chelsea,Wolverhampton
"Inter Milan to score 2nd goal @ 2.50

$29.75 Single",2020-07-28 16:12:06,29.75,74.38,44.63,Serie A,2.5,636.29,,TEAM TO SCORE,LIVE,WIN,Inter,
"Atalanta to score 3rd goal @ 2.75

$24.38 Single",2020-08-01 15:13:47,24.38,0.0,-24.38,Serie A,2.75,611.91,,TEAM TO SCORE,LIVE,LOST,Atalanta,
"Getafe @ 3.20

$50.00 Single",2020-08-04 12:32:35,50.0,160.0,110.0,UCL,3.2,721.91,"Getafe vs Inter
角球大数据精准命中 (Cross + Corner)",ASIAN CORNER HANDICAP,PRE MATCH,WIN,Inter,Getafe
"Getafe to score 2nd goal @ 3.60

$20.00 Single",2020-08-05 15:16:26,20.0,0.0,-20.0,UCL,3.6,701.91,"Getafe vs Inter

本来应该命中的，可惜点球发丢了",TEAM TO SCORE,LIVE,LOST,Inter,Getafe
"Getafe to score 2nd goal @ 4.33

$20.00 Single",2020-08-05 15:28:53,20.0,0.0,-20.0,UCL,4.33,681.91,"Getafe vs Inter

本来应该命中的，可惜点球发丢了",TEAM TO SCORE,LIVE,LOST,Inter,Getafe
"Lyon +1.0 @ 1.970

$60.00 Single",2020-08-07 13:02:18,60.0,60.0,0.0,UCL,1.97,681.91,"Lyon vs Juventus
欧冠16进8， Lyon半年没正式比赛了
尤文依然拉胯, 可见意甲的强度之低",ASIAN HANDICAP,PRE MATCH,PUSH,Juventus,
"Man City to score 4th goal @ 2.10

$20.00 Single",2020-08-07 15:32:40,20.0,0.0,-20.0,UCL,2.1,661.91,"Man City vs Real Madrid
欧冠16进8， 拉莫斯停赛。瓦拉内2次低级失误。
强调中卫组合稳定性
偶联Roma vs Sevilla也验证了这一点(Smalling缺阵)",TEAM TO SCORE,LIVE,LOST,Real Madrid,Manchester City
"Napoli +1.0 @ 2.000

$40.00 Single",2020-08-08 13:59:47,40.0,80.0,40.0,,2.0,701.91,"Barcelona v Napoli
这个角球还是很稳的...",ASIAN CORNER HANDICAP,PRE MATCH,WIN,Barcelona,Napoli
"Napoli to score 5th goal @ 3.75

$20.00 Single",2020-08-08 15:36:34,20.0,0.0,-20.0,,3.75,681.91,,TEAM TO SCORE,LIVE,LOST,Napoli,
"Man City -1.5 @ 1.930

$30.00 Single",2020-08-08 19:15:12,30.0,31.59,1.59,,1.93,683.5,"Man City v Lyon(Asian Handicap)
这场感觉到爆冷风险提前cash out, 事后证明是正确的",ASIAN HANDICAP,PRE MATCH,CASH_OUT,Manchester City,
"Bayern Munich @ 1.95

$30.00 Single",2020-08-10 10:04:39,30.0,30.0,0.0,,1.95,683.5,"拜仁 vs 巴萨
看了一赛季巴萨，结果并不意外，最稳的一场",FINAL RESULT,PRE MATCH,CASH_OUT,Bayern Munich,Barcelona
"Bayern Munich -0.5 @ 2.020

$50.00 Single",2020-08-10 10:05:14,50.0,101.0,51.0,UCL,2.02,734.5,"拜仁 vs 巴萨
看了一赛季巴萨，结果并不意外，最稳的一场",ASIAN HANDICAP,PRE MATCH,WIN,Bayern Munich,Barcelona
"Bayern Munich -0.5 @ 2.020

$50.00 Single",2020-08-10 10:05:41,50.0,101.0,51.0,UCL,2.02,785.5,拜仁 vs 巴萨,ASIAN HANDICAP,PRE MATCH,WIN,Bayern Munich,Barcelona
"Over 2.0 @ 2.000

$30.00 Single",2020-08-11 10:29:22,30.0,0.0,-30.0,UCL,2.0,755.5,Wolverhampton v Sevilla(Goal Line),TOTAL GOAL,PRE MATCH,LOST,Sevilla,Wolverhampton
"Over 2.0 @ 2.100

$20.00 Single",2020-08-11 13:28:07,20.0,0.0,-20.0,UCL,2.1,735.5,"Wolverhampton v Sevilla(Goal Line)
这个参考两队数据应该可以看出端倪:
狼队龟缩，火力不强",TOTAL GOAL,PRE MATCH,LOST,Sevilla,Wolverhampton
"Over 1.0,1.5 @ 2.150

$38.00 Single",2020-08-12 14:00:08,38.0,41.24,3.24,,2.15,738.74,"Atalanta vs Paris
半场大小球",TOTAL GOAL,PRE MATCH,CASH_OUT,Paris SG,Atalanta
"Over 1.0,1.5 @ 2.150

$12.00 Single",2020-08-12 14:00:22,12.0,6.0,-6.0,UCL,2.15,732.74,,TOTAL GOAL,PRE MATCH,LOST,,
"Atalanta to score 2nd goal @ 3.00

$27.24 Single",2020-08-12 15:07:02,27.24,0.0,-27.24,UCL,3.0,705.5,,TEAM TO SCORE,LIVE,LOST,Atalanta,
"Atalanta to score 2nd goal @ 4.33

$20.00 Single",2020-08-12 15:33:15,20.0,0.0,-20.0,UCL,4.33,685.5,,TEAM TO SCORE,LIVE,LOST,Atalanta,
"Atletico Madrid to score 3rd goal @ 4.33

$20.00 Single",2020-08-13 15:38:58,20.0,0.0,-20.0,UCL,4.33,665.5,,TEAM TO SCORE,LIVE,LOST,Atletico Madrid,
"Atletico Madrid to score 3rd goal @ 4.33

$10.00 Single",2020-08-13 15:39:30,10.0,0.0,-10.0,UCL,4.33,655.5,,TEAM TO SCORE,LIVE,LOST,Atletico Madrid,
"Bayern Munich -0.5 @ 2.000

$100.00 Single",2020-08-13 22:39:11,100.0,200.0,100.0,UCL,2.0,755.5,"拜仁 vs 巴萨
看了一赛季巴萨，结果并不意外，最稳的一场",ASIAN HANDICAP,PRE MATCH,WIN,Bayern Munich,Barcelona
"Bayern Munich to score 8th goal @ 2.10

$50.00 Single",2020-08-14 15:29:43,50.0,105.0,55.0,UCL,2.1,810.5,"拜仁 vs 巴萨
最后莱万还没进，所以来了第8个...",TEAM TO SCORE,LIVE,WIN,Bayern Munich,Barcelona
"Sevilla 0.0 @ 2.000

$57.00 Single",2020-08-15 09:32:34,57.0,0.0,-57.0,,2.0,753.5,Sevilla v Man Utd(Asian Handicap Corners),ASIAN CORNER HANDICAP,PRE MATCH,LOST,Manchester United,Sevilla
"Man City @ 3.75

$31.59 Single",2020-08-15 15:18:17,31.59,0.0,-31.59,,3.75,721.91,,FINAL RESULT,PRE MATCH,LOST,Manchester City,
"Beijing Guoan to score 6th goal @ 1.80

$100.00 Single",2020-08-16 06:27:34,100.0,0.0,-100.0,CSL,1.8,621.91,中超赛季处子秀，卒,TEAM TO SCORE,LIVE,LOST,,
"Man Utd @ 2.40

$200.00 Single",2020-08-16 15:21:09,200.0,0.0,-200.0,UCL,2.4,421.91,被曼城搞了心态，崩,FINAL RESULT,PRE MATCH,LOST,Manchester City,
"Inter Milan to score 3rd goal @ 2.20

$200.00 Single",2020-08-17 15:23:00,200.0,440.0,240.0,UCL,2.2,661.91,"Inter Milan v Shakhtar Donetsk
曼城把心态搞崩了，孤注一掷. 
根据矿工之前打亚特兰大的拉胯后防最后崩盘判定其还会继续丢球，最后果然再丢三个",TEAM TO SCORE,LIVE,WIN,Inter,AC Milan
"Draw @ 4.00

$40.00 Single",2020-08-18 11:09:41,40.0,0.0,-40.0,UCL,4.0,621.91,"Paris vs LPZ
不看好巴黎，博个平局",FINAL RESULT,PRE MATCH,LOST,Paris SG,RB Leipzig
"Bayern Munich -0.5 @ 1.950

$200.00 Single",2020-08-19 16:19:02,200.0,200.0,0.0,UCL,1.95,621.91,,ASIAN HANDICAP,PRE MATCH,PUSH,Bayern Munich,
"Bayern Munich -0.5 @ 1.950

$100.00 Single",2020-08-19 16:20:16,100.0,195.0,95.0,UCL,1.95,716.91,"欧冠决赛,赛季的完美句号
巴黎毫无胜算，决赛资金量大, 小注规避风险",ASIAN HANDICAP,PRE MATCH,WIN,Bayern Munich,
"Sevilla 0.0,+0.5 @ 1.925

$100.00 Single",2020-08-21 12:32:47,100.0,192.5,92.5,UCL,1.925,809.41,"欧联决赛, Sevilla vs Inter
国米赛前赔率显示为优势. 
一个赛季意甲没白看, 拉胯联赛，孔蒂垃圾",ASIAN HANDICAP,PRE MATCH,WIN,Inter,Sevilla
"Sevilla to score 5th goal @ 4.33

$50.00 Single",2020-08-21 15:28:04,50.0,216.67,166.67,UCL,4.33,976.08,"欧联决赛, Sevilla vs Inter
国米赛前赔率显示为优势. 
一个赛季意甲没白看, 拉胯联赛，孔蒂垃圾",TEAM TO SCORE,LIVE,WIN,Inter,Sevilla
"Bayern Munich -0.5 @ 2.070

$79.17 Single
",2020-08-21 19:23:25,79.17,143.89,64.72,UCL,2.07,1040.8,,ASIAN HANDICAP,PRE MATCH,WIN,Bayern Munich,
"Bayern Munich -2.0 @ 1.975

$50.00 Single",2020-08-23 13:11:01,50.0,0.0,-50.0,UCL,1.975,990.8,欧冠决赛，这个角球没打出比较意外,ASIAN CORNER HANDICAP,PRE MATCH,LOST,Bayern Munich,
"Shandong Luneng -0.5 @ 1.875

$38.89 Single",2020-08-29 06:58:45,38.89,0.0,-38.89,,1.875,951.91,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Leeds @ 10.00

$50.00 Single",2020-09-06 09:39:47,50.0,0.0,-50.0,PL,10.0,901.91,"Leeds vs Liverpool
庆祝Leeds联重返英超, 情怀一注只为支持贝尔萨",FINAL RESULT,PRE MATCH,LOST,Leeds United,Liverpool
"Everton @ 4.75

$20.00 Single",2020-09-13 11:34:57,20.0,95.0,75.0,PL,4.75,976.91,Tottenham v Everton(Fulltime Result),FINAL RESULT,PRE MATCH,WIN,Tottenham,Everton
"Dalian Pro @ 1.83

$25.00 Single",2020-09-14 07:12:54,25.0,0.0,-25.0,,1.83,951.91,,FINAL RESULT,PRE MATCH,LOST,,
"Liverpool 0.0,-0.5 @ 1.980

$50.00 Single",2020-09-20 06:31:47,50.0,99.0,49.0,PL,1.98,1000.91,Chelsea v Liverpool,ASIAN HANDICAP,PRE MATCH,WIN,Liverpool,Chelsea
"Liverpool @ 2.20

$50.00 Single",2020-09-20 11:08:35,50.0,110.0,60.0,PL,2.2,1060.91,Chelsea v Liverpool(Fulltime Result),FINAL RESULT,PRE MATCH,WIN,Liverpool,Chelsea
"Man City -1.0 @ 1.870

$29.00 Single",2020-09-21 14:11:12,29.0,54.23,25.23,,1.87,1086.14,,ASIAN HANDICAP,PRE MATCH,WIN,Manchester City,
"Atalanta 0.0 @ 1.950

$50.00 Single",2020-09-29 08:36:12,50.0,97.5,47.5,,1.95,1133.64,,ASIAN HANDICAP,PRE MATCH,WIN,Atalanta,
"Leeds +1.5 @ 1.940

$34.23 Single",2020-09-30 05:26:56,34.23,66.41,32.18,,1.94,1165.82,,ASIAN HANDICAP,PRE MATCH,WIN,Leeds United,
"Borussia Dortmund to score 5th goal @ 3.40

$50.00 Single",2020-09-30 14:52:58,50.0,0.0,-50.0,,3.4,1115.82,,TEAM TO SCORE,LIVE,LOST,Dortmund,
"Leeds @ 21.00

$17.50 Single",2020-10-03 12:36:23,17.5,0.0,-17.5,,21.0,1098.32,,FINAL RESULT,PRE MATCH,LOST,Leeds United,
"Borussia Dortmund 0.0,-0.5 @ 1.980

$96.41 Single",2020-10-07 07:11:42,96.41,0.0,-96.41,UCL,1.98,1001.91,"Lazio vs Dortmund, 大崩盘的第二场
提前投注, 以当时的眼光来看，这赔率真TMD就是白送",ASIAN HANDICAP,PRE MATCH,LOST,Lazio,Dortmund
"Beijing Guoan @ 3.00

$20.00 Single",2020-10-17 04:00:31,20.0,0.0,-20.0,,3.0,981.91,,FINAL RESULT,PRE MATCH,LOST,,
"Inter Milan -0.5 @ 2.080

$80.00 Single",2020-10-17 10:28:29,80.0,0.0,-80.0,,2.08,901.91,"Inter vs AC Milan
有三支球队我是长期做空的: 拉齐奥, 热刺(穆里尼奥), 米兰(伊布). 坚决做空米兰因为伊布的球风和跑动能力. 结果米兰本赛季意甲10轮后排名第一，脸都给我打肿了
恰好碰上我在意甲无脑做多的国际米兰(英超班子, 劳塔罗). 孔蒂真心是坑爹, 本赛季可能要粉转黑",ASIAN HANDICAP,PRE MATCH,LOST,Inter,AC Milan
"Inter Milan @ 3.40

$50.00 Single",2020-10-17 11:36:00,50.0,0.0,-50.0,,3.4,851.91,"Inter vs AC Milan
有三支球队我是长期做空的: 拉齐奥, 热刺(穆里尼奥), 米兰(伊布). 坚决做空米兰因为伊布的球风和跑动能力. 结果米兰本赛季意甲10轮后排名第一，脸都给我打肿了
恰好碰上我在意甲无脑做多的国际米兰(英超班子, 劳塔罗). 孔蒂真心是坑爹, 本赛季可能要粉转黑",FINAL RESULT,LIVE,LOST,Inter,AC Milan
"Shanghai SIPG -1.0 @ 1.800

$150.00 Single",2020-10-17 18:58:53,150.0,0.0,-150.0,CSL,1.8,701.91,"上港vs申花, 大崩盘的开始
投注依据：中超靠外援, 上港有新晋英超大腿外援，申花只有双外援, 上港常规赛数据全面占优
主要问题: 没认真看过两队的比赛, 完全不了解上港队内的一些问题(事后才知道有外援续约，降薪和态度问题)",ASIAN HANDICAP,PRE MATCH,LOST,Shanghai Shenhua,
"Shanghai SIPG -1.0 @ 1.975

$100.00 Single",2020-10-18 06:21:23,100.0,0.0,-100.0,CSL,1.975,601.91,"上港vs申花, 大崩盘的开始",ASIAN HANDICAP,PRE MATCH,LOST,Shanghai Shenhua,
"Borussia Dortmund 0.0,-0.5 @ 1.860

$100.00 Single",2020-10-18 10:56:35,100.0,0.0,-100.0,UCL,1.86,501.91,"Lazio vs Dortmund, 大崩盘的第二场
拉齐奥十年后重返欧冠第一场，我最熟悉的意甲养老队面对一只常年和拜仁打高强度对抗的球队居然都会爆冷...

反思：多特蒙德的比赛我没看过，没想到如此拉垮. 当然这场球问我依然觉得有问题",ASIAN HANDICAP,PRE MATCH,LOST,Lazio,Dortmund
"Man Utd 0.0 @ 1.880

$50.00 Single",2020-10-24 10:42:23,50.0,50.0,0.0,,1.88,501.91,,ASIAN HANDICAP,PRE MATCH,PUSH,Manchester United,
"Lazio 0.0,+0.5 @ 2.040

$30.00 Single",2020-10-28 14:34:53,30.0,30.47,0.47,UCL,2.04,502.38,"拉齐奥的比赛还是少碰吧, 假成马",ASIAN HANDICAP,PRE MATCH,CASH_OUT,Lazio,
